tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,actor,actress,producer
tt0035423,6.410678531701892,Kate & Leopold,2001,118,6.031288082054239,7.625,7.1375,6.4,89140,6.347916666666667,0.0,7.05
tt0082328,5.9267333049765805,Embodiment of Evil,2008,94,5.109565489215376,5.9,4.300000000000001,5.9,1801,2.2944444444444447,0.0,6.65
tt0118589,5.9267333049765805,Glitter,2001,104,6.346223015811688,5.8,2.4,2.4,24093,6.495,5.12,4.6499999999999995
tt0118652,5.9267333049765805,The Attic Expeditions,2001,100,5.652409672378624,4.85,4.9,4.9,1916,4.386904761904762,6.400000000000001,3.233333333333333
tt0118694,6.241657696447796,In the Mood for Love,2000,98,6.321624600053407,7.366666666666667,7.366666666666667,8.1,167128,5.85,6.4,7.366666666666667
tt0118926,5.9267333049765805,The Dancer Upstairs,2002,132,6.087793273904871,7.0,6.9,6.9,6882,5.891666666666667,4.800000000000001,7.1
tt0119004,5.9267333049765805,Don's Plum,2001,89,6.200684628620605,5.9,5.74,5.5,4764,6.236111111111112,3.2,4.833333333333333
tt0119273,6.241657696447796,Heavy Metal 2000,2000,88,6.136012850203341,6.3375,5.5,5.4,9341,4.546875,6.400000000000001,2.7
tt0120202,5.9267333049765805,State and Main,2000,105,6.200684628620605,6.7,6.7,6.7,22199,5.9750000000000005,6.4,6.35
tt0120626,5.9267333049765805,April Captains,2000,123,6.506963000641285,7.1,7.1,7.1,3409,3.064583333333333,3.2,6.7
tt0120630,6.410678531701892,Chicken Run,2000,84,6.18666476073875,7.183333333333334,6.918333333333334,7.1,212468,4.49,6.4,7.144444444444445
tt0120667,6.087284583139267,Fantastic Four,2005,106,5.891002623015889,5.75,6.800000000000001,5.7,344089,5.930952380952381,4.266666666666667,7.430555555555556
tt0120679,6.410678531701892,Frida,2002,123,6.466903270594764,6.866666666666667,7.3,7.3,95408,6.435416666666667,6.3999999999999995,6.1499999999999995
tt0120681,6.330769230769228,From Hell,2001,122,5.549452493517681,6.725,5.7250000000000005,6.7,164312,5.257142857142857,4.266666666666667,6.775
tt0120753,6.410678531701892,The Million Dollar Hotel,2000,122,5.975353964750085,7.9,6.583333333333333,5.7,22484,5.483333333333333,2.1333333333333333,5.35
tt0120755,6.241657696447796,Mission: Impossible II,2000,123,5.851483364051199,7.3,7.4,6.1,378074,5.580555555555556,6.4,2.3666666666666667
tt0120804,6.241657696447796,Resident Evil,2002,100,5.466844032060816,6.066666666666666,6.066666666666666,6.6,288765,5.573333333333333,6.4,6.7
tt0120824,5.9267333049765805,The Shipping News,2001,111,6.387269902912586,7.25,6.9625,6.7,33931,5.234523809523809,6.400000000000001,7.266666666666667
tt0120903,6.241657696447796,X-Men,2000,104,5.759348419550825,7.099999999999999,7.1194444444444445,7.3,647302,6.303571428571429,6.4,7.375
tt0120912,6.241657696447796,Men in Black II,2002,88,5.954440542912142,6.8,6.133333333333333,6.2,404106,5.8240740740740735,6.4,7.199999999999999
tt0120913,5.9267333049765805,Titan A.E.,2000,94,6.136012850203341,6.6,6.737500000000001,6.6,63996,4.730952380952381,6.400000000000001,6.3999999999999995
tt0120917,5.9267333049765805,The Emperor's New Groove,2000,78,6.18666476073875,6.550000000000001,6.931249999999999,7.4,225820,6.31875,6.400000000000001,6.550000000000001
tt0121164,6.241657696447796,Corpse Bride,2005,77,6.3200618444811445,7.25,6.23,7.4,299133,5.747916666666667,6.4,7.300000000000001
tt0125022,5.9267333049765805,Heartbreakers,2001,123,6.14698691752636,6.2,6.2,6.2,58037,5.776190476190477,4.977777777777778,3.516666666666667
tt0126029,6.241657696447796,Shrek,2001,90,6.18666476073875,6.775,7.016666666666667,7.9,735210,5.79236111111111,6.4,6.230555555555554
tt0127349,5.9267333049765805,Waking the Dead,2000,105,6.158937791232895,6.4,6.300000000000001,6.4,7638,4.335714285714286,2.1333333333333333,6.533333333333334
tt0130623,5.9267333049765805,Dinosaur,2000,82,6.3110549436000705,6.75,6.383333333333333,6.4,67302,4.7299999999999995,6.4,6.300000000000001
tt0131704,5.9267333049765805,The Adventures of Rocky & Bullwinkle,2000,92,6.021768590047263,0.0,7.0625,4.3,21207,3.595,6.3999999999999995,3.7249999999999996
tt0132245,6.330769230769228,Driven,2001,116,6.206645647204314,5.15,5.599999999999999,4.6,43137,4.930952380952381,6.400000000000001,5.605555555555555
tt0133152,5.9267333049765805,Planet of the Apes,2001,120,5.759348419550825,7.2,5.499999999999999,5.7,229776,5.491666666666666,6.4,0.0
tt0133240,5.9267333049765805,Treasure Planet,2002,95,6.203340897338464,7.5,7.427777777777778,7.2,133254,5.430555555555556,6.4,7.366666666666667
tt0134847,6.241657696447796,Pitch Black,2000,109,5.466844032060816,6.7,6.677777777777778,7.0,253179,5.8083333333333345,6.400000000000001,5.0
tt0134983,5.9267333049765805,Supernova,2000,90,5.414538763735282,4.0,5.758333333333333,4.8,19438,3.797916666666667,6.4,6.575
tt0138524,5.9267333049765805,Intolerable Cruelty,2003,100,6.14698691752636,5.5125,6.074999999999999,6.3,101903,5.323958333333334,6.4,6.925
tt0138749,6.241657696447796,The Road to El Dorado,2000,89,6.18666476073875,5.547222222222222,7.197916666666667,6.9,107581,5.381481481481482,0.0,5.25
tt0138946,5.9267333049765805,The Yards,2000,115,6.2713771003876815,6.675,7.074999999999999,6.4,23111,5.1499999999999995,4.266666666666667,6.441666666666666
tt0139654,6.241657696447796,Training Day,2001,122,6.087793273904871,7.275,6.500000000000001,7.7,473494,7.152777777777778,6.4,6.9
tt0141907,6.330769230769228,Town & Country,2001,104,6.135039325761426,6.7,4.5,4.5,5255,3.7383333333333333,1.28,6.211111111111111
tt0144084,6.241657696447796,American Psycho,2000,102,5.889239164394731,7.05,6.7,7.6,717102,7.017857142857143,6.400000000000001,7.0
tt0144142,5.9267333049765805,Committed,2000,98,6.219116184811813,5.1,5.1,5.1,4048,7.411666666666667,5.12,2.55
tt0144528,5.9267333049765805,Nutty Professor II: The Klumps,2000,106,5.899633878589175,6.2,6.225,4.5,53312,4.583333333333332,6.400000000000001,8.2
tt0144964,5.9267333049765805,Highlander: Endgame,2000,87,5.891002623015889,5.2,4.85,4.6,21324,4.101190476190476,6.4,4.6
