tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0035423,AR,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506",6.4,89140
tt0082328,AU,Embodiment of Evil,2008,94,Horror,nm0596261,"nm0707963,nm0596261",5.9,1801
tt0118589,AU,Glitter,2001,104,"Drama,Music,Romance",nm0193554,"nm0921985,nm0486824",2.4,24093
tt0118652,AU,The Attic Expeditions,2001,100,"Comedy,Horror,Mystery",nm0440948,nm0551138,4.9,1916
tt0118694,AE,In the Mood for Love,2000,98,"Drama,Romance",nm0939182,nm0939182,8.1,167128
tt0118926,AU,The Dancer Upstairs,2002,132,"Crime,Drama,Thriller",nm0000518,nm0787649,6.9,6882
tt0119004,AU,Don's Plum,2001,89,"Comedy,Drama",nm0730222,"nm0065818,nm0836476,nm0730222,nm0039192,nm0923673",5.5,4764
tt0119273,AE,Heavy Metal 2000,2000,88,"Action,Adventure,Animation","nm0170402,nm0501341","nm0084253,nm0127560,nm0247653,nm0847905",5.4,9341
tt0120202,AU,State and Main,2000,105,"Comedy,Drama",nm0000519,nm0000519,6.7,22199
tt0120263,AU,Songs from the Second Floor,2000,98,"Comedy,Drama",nm0027815,nm0027815,7.5,20366
tt0120467,AU,Vulgar,2000,87,"Crime,Drama,Thriller",nm0424682,nm0424682,5.2,4289
tt0120626,AU,April Captains,2000,123,"Drama,History,War",nm0210218,nm0210218,7.1,3409
tt0120630,AR,Chicken Run,2000,84,"Adventure,Animation,Comedy","nm0661910,nm0520485","nm0456732,nm0661910,nm0640976,nm0123666,nm0520485",7.1,212468
tt0120667,CA,Fantastic Four,2005,106,"Action,Adventure,Fantasy",nm1103162,"nm0456158,nm0289833,nm0004111,nm0498278",5.7,344089
tt0120679,AR,Frida,2002,123,"Biography,Drama,Romance",nm0853380,"nm1187860,nm0797397,nm0380419",7.3,95408
tt0120681,AT,From Hell,2001,122,"Horror,Mystery,Thriller","nm0400436,nm0400441","nm0371249,nm0600872,nm0947913,nm0132427",6.7,164312
tt0120737,AE,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action,Adventure,Drama",nm0001392,"nm0101991,nm0866058,nm0001392,nm0909638",8.9,2009679
tt0120753,AR,The Million Dollar Hotel,2000,122,"Drama,Mystery,Thriller",nm0000694,"nm0095104,nm0458911",5.7,22484
tt0120755,AE,Mission: Impossible II,2000,123,"Action,Adventure,Thriller",nm0000247,nm0312367,6.1,378074
tt0120804,AE,Resident Evil,2002,100,"Action,Horror,Sci-Fi",nm0027271,nm0027271,6.6,288765
tt0120824,AU,The Shipping News,2001,111,Drama,nm0002120,"nm0414608,nm0698925",6.7,33931
tt0120903,AE,X-Men,2000,104,"Action,Adventure,Sci-Fi",nm0001741,"nm0220892,nm0371684,nm0001741",7.3,647302
tt0120912,AE,Men in Black II,2002,88,"Action,Adventure,Comedy",nm0001756,"nm0330565,nm0192384,nm0266673",6.2,404106
tt0120913,AU,Titan A.E.,2000,94,"Action,Adventure,Animation","nm0325776,nm0089940","nm0923736,nm0061829,nm0041864,nm0566595",6.6,63996
tt0120917,AU,The Emperor's New Groove,2000,78,"Adventure,Animation,Comedy",nm0227540,"nm0910559,nm2320658,nm0930261,nm0414226,nm0721675,nm0448208,nm0227540,nm0027459",7.4,225820
tt0121164,AE,Corpse Bride,2005,77,"Animation,Comedy,Drama","nm0000318,nm0425843","nm0003031,nm0000318,nm0972040,nm0335022,nm0041864",7.4,299133
tt0125022,AU,Heartbreakers,2001,123,"Comedy,Crime,Romance",nm0592400,"nm0242743,nm0345488,nm0563397",6.2,58037
tt0126029,AE,Shrek,2001,90,"Adventure,Animation,Comedy","nm0011470,nm0421776","nm1844237,nm0970447,nm0970606,nm0830294,nm0825308,nm0744429,nm0254645",7.9,735210
tt0127349,AU,Waking the Dead,2000,105,"Drama,Mystery,Romance",nm0330360,"nm0818098,nm0226889",6.4,7638
tt0130623,AU,Dinosaur,2000,82,"Adventure,Animation,Drama","nm0957798,nm0500343","nm1014201,nm0731271,nm0414608,nm0365666,nm0957798",6.4,67302
tt0131704,AU,The Adventures of Rocky & Bullwinkle,2000,92,"Adventure,Comedy,Family",nm0005197,"nm0518836,nm0911599",4.3,21207
tt0132245,AT,Driven,2001,116,"Action,Drama,Sport",nm0001317,"nm0804847,nm0000230,nm0845844",4.6,43137
tt0133152,AU,Planet of the Apes,2001,120,"Action,Adventure,Sci-Fi",nm0000318,"nm0115310,nm0742797,nm0099541,nm0465199",5.7,229776
tt0133240,AU,Treasure Planet,2002,95,"Adventure,Animation,Family","nm0166256,nm0615780","nm0972395,nm0615780,nm0166256,nm0744429,nm0829044,nm0254645",7.2,133254
tt0134847,AE,Pitch Black,2000,109,"Action,Horror,Sci-Fi",nm0878638,"nm0003117,nm0878638,nm0923646",7.0,253179
tt0134983,AU,Supernova,2000,90,"Horror,Sci-Fi,Thriller",nm0794791,"nm0933276,nm0540532,nm0160935",4.8,19438
tt0138524,AU,Intolerable Cruelty,2003,100,"Comedy,Crime,Romance","nm0001054,nm0001053","nm0001054,nm0709070,nm0832043,nm0001053,nm0738908",6.3,101903
tt0138749,AE,The Road to El Dorado,2000,89,"Adventure,Animation,Comedy","nm0074426,nm0666802,nm0005076","nm0456732,nm0744429,nm0254645,nm0493857",6.9,107581
tt0138946,AU,The Yards,2000,115,"Crime,Drama,Romance",nm0336695,"nm0716257,nm0336695",6.4,23111
tt0139654,AE,Training Day,2001,122,"Crime,Drama,Thriller",nm0298807,nm0043742,7.7,473494
tt0141907,AT,Town & Country,2001,104,"Comedy,Romance",nm0155093,nm0490861,4.5,5255
tt0141926,AR,U-571,2000,116,"Action,War",nm0609236,"nm0043742,nm0599924,nm0609236",6.6,87446
tt0144084,AE,American Psycho,2000,102,"Crime,Drama,Horror",nm0366004,"nm0366004,nm0254735,nm0877587",7.6,717102
tt0144142,AU,Committed,2000,98,"Comedy,Drama,Romance",nm0472495,nm0472495,5.1,4048
tt0144528,AU,Nutty Professor II: The Klumps,2000,106,"Comedy,Romance,Sci-Fi",nm0781842,"nm0919363,nm0919369,nm0790775,nm0087904,nm0644203",4.5,53312
tt0144964,AU,Highlander: Endgame,2000,87,"Action,Adventure,Fantasy",nm0007439,"nm0812373,nm0395741,nm0077171,nm0659949",4.6,21324
tt0145487,AE,Spider-Man,2002,121,"Action,Adventure,Sci-Fi",nm0000600,"nm0462895,nm0498278,nm0228492",7.4,881008
tt0145937,CA,Naqoyqatsi,2002,89,"Documentary,Music",nm0716585,nm0716585,6.4,6247
tt0146309,AE,Thirteen Days,2000,145,"Drama,History,Thriller",nm0002044,"nm0954546,nm0783100,nm0561943",7.3,62748
tt0146316,AE,Lara Croft: Tomb Raider,2001,100,"Action,Adventure,Fantasy",nm0922346,"nm0153384,nm0557266,nm0957003,nm0108273,nm0171718,nm0922346",5.8,219101
tt0146882,AU,High Fidelity,2000,113,"Comedy,Drama,Music",nm0001241,"nm0003298,nm0000131,nm0684336,nm0394984,nm0222584",7.4,189912
tt0149367,CA,Where the Money Is,2000,89,"Comedy,Crime,Drama",nm0437709,"nm0510229,nm0142154,nm0296861",6.3,6410
tt0149624,AU,All the Pretty Horses,2000,116,"Drama,Romance,Western",nm0000671,"nm0848217,nm0565092",5.8,15664
tt0150021,AU,Camouflage,2001,98,"Action,Comedy",nm0005077,"nm0770046,nm0000671,nm0258370",4.5,2109
tt0151150,AU,Josh,2000,162,"Action,Drama,Musical",nm0451257,"nm0451257,nm0903423,nm1210960",6.1,11030
tt0156323,AU,Screwed,2000,81,"Comedy,Crime","nm0438989,nm0018735","nm0438989,nm0018735",5.6,9546
tt0156757,AU,Mad About Mambo,2000,92,"Comedy,Drama,Romance",nm0287161,nm0287161,5.9,2127
tt0156807,AR,Mr. Accident,2000,89,Comedy,nm0000635,"nm0730000,nm0000635",4.4,1197
tt0156812,AU,My Dog Skip,2000,95,"Comedy,Drama,Family",nm0751221,"nm0318343,nm0607009",7.0,21362
tt0157191,AU,One Last Dance,2003,101,"Drama,Romance",nm0001568,"nm0076791,nm0001568",5.3,1649
tt0157472,AR,Clockstoppers,2002,94,"Action,Adventure,Comedy",nm0000408,"nm0826425,nm0373154,nm0373151,nm0918955",5.2,15124
tt0157583,AU,Enigma,2001,119,"Drama,Mystery,Romance",nm0000776,"nm0001779,nm0365249",6.4,21925
tt0158033,AU,Nora,2000,106,"Biography,Drama",nm0614584,"nm0826437,nm0614584,nm0534696",5.9,1849
tt0158622,AU,The Flintstones in Viva Rock Vegas,2000,90,"Comedy,Family,Romance",nm0505152,"nm0253323,nm0053484,nm0258390,nm0360253,nm0438226,nm0143596",3.7,25474
tt0159273,AE,Behind Enemy Lines,2001,106,"Action,Drama,Thriller",nm0601382,"nm0892705,nm0859049,nm0672015,nm0859029",6.4,112976
tt0159365,AU,Cold Mountain,2003,154,"Adventure,Drama,Romance",nm0005237,"nm0005237,nm0292565",7.2,156222
tt0160009,AU,The Art of War,2000,117,"Action,Adventure,Crime",nm0240995,nm0063511,5.7,30921
tt0160127,AE,Charlie's Angels,2000,98,"Action,Adventure,Comedy",nm0629334,"nm0004412,nm0746598,nm0041864,nm0730850,nm0324578",5.6,196445
tt0160184,AR,Eye See You,2002,96,"Crime,Thriller",nm0318947,"nm0109587,nm0842697",5.3,29538
tt0160289,NL,Four Dogs Playing Poker,2000,97,"Crime,Drama,Mystery",nm0705127,nm0704454,5.5,1452
tt0160399,AR,Impostor,2001,95,"Drama,Mystery,Sci-Fi",nm0001219,"nm0003298,nm0143187,nm0472567,nm0878638,nm0001140",6.1,24569
tt0160403,AU,The Independent,2000,81,Comedy,nm0450387,"nm0929293,nm0450387",5.9,1371
tt0160484,AU,Lost Souls,2000,97,"Drama,Horror,Thriller",nm0001405,"nm0307070,nm0821439",4.8,11378
tt0160495,AU,Luckytown,2000,101,"Crime,Drama,Mystery",nm6497799,nm1129263,4.7,1053
tt0160644,CA,Passion of Mind,2000,105,"Drama,Mystery,Romance",nm0075626,nm0275914,5.5,3590
tt0160749,BR,Red Dirt,2000,110,"Drama,Romance",nm0701039,nm0701039,6.1,1022
tt0161081,AU,What Lies Beneath,2000,130,"Drama,Horror,Mystery",nm0000709,"nm0163988,nm0449576",6.6,135848
tt0161860,AU,Nowhere in Africa,2001,141,"Biography,Drama,History",nm0512862,"nm0959004,nm0512862",7.5,13980
tt0162222,AE,Cast Away,2000,143,"Adventure,Drama,Romance",nm0000709,nm0115310,7.8,639442
tt0162346,AR,Ghost World,2001,111,"Comedy,Drama",nm0959062,"nm0167280,nm0959062",7.3,126912
tt0162650,AU,Shaft,2000,99,"Action,Crime,Thriller",nm0005436,"nm0862781,nm0004307,nm0005436",6.0,80851
tt0162983,AU,Hanging Up,2000,94,"Comedy,Drama",nm0000473,"nm0001188,nm0258286",4.8,13181
tt0163025,AE,Jurassic Park III,2001,92,"Action,Adventure,Sci-Fi",nm0002653,"nm0118224,nm0668247,nm0852591",5.9,341343
tt0163676,AU,The in Crowd,2000,105,"Drama,Mystery,Thriller",nm0005116,"nm0357000,nm0317102",4.6,4865
tt0163978,AE,The Beach,2000,119,"Adventure,Drama,Romance",nm0000965,"nm0388076,nm0307497",6.6,254015
tt0163983,AU,Bless the Child,2000,107,"Crime,Drama,Horror",nm0751080,"nm0337825,nm0817697,nm0337731",5.1,15405
tt0164003,AE,City of Ghosts,2002,116,"Crime,Drama,Thriller",nm0000369,nm0000369,5.9,5819
tt0164052,AE,Hollow Man,2000,112,"Action,Horror,Sci-Fi",nm0000682,"nm0549256,nm0860155",5.8,138504
tt0164184,AE,The Sum of All Fears,2002,124,"Action,Drama,Thriller",nm0004675,"nm0002417,nm0002007",6.4,124533
tt0164212,AU,Under Suspicion,2000,110,"Crime,Drama,Thriller",nm0394280,"nm0407717,nm0002192,nm0002218,nm0906538,nm0379150,nm0699103",6.4,27648
tt0164334,AE,Along Came a Spider,2001,104,"Drama,Thriller",nm0848414,"nm0666248,nm0609031",6.4,95970
tt0164810,GB,Pipe Dream,2001,91,"Comedy,Romance",nm0909699,"nm0438219,nm0909699",6.1,1069
tt0164961,AU,Vidocq,2001,98,"Action,Crime,Fantasy",nm0685759,"nm0685759,nm0335096,nm0896520",6.4,23129
tt0165361,AU,Highway,2002,97,"Crime,Drama",nm0185063,nm0003298,6.1,6823
tt0165832,AE,Interstate 60,2002,116,"Adventure,Comedy,Drama",nm0301826,nm0301826,7.6,36852
tt0165929,AU,Romeo Must Die,2000,115,"Action,Crime,Thriller",nm0005647,"nm0418904,nm0438449,nm0077171",6.1,73734
tt0165982,AU,Sinbad: Legend of the Seven Seas,2003,86,"Adventure,Animation,Comedy","nm0426333,nm1369708",nm0517589,6.7,59533
tt0166158,CA,Daddy and Them,2001,101,"Comedy,Drama",nm0000671,nm0000671,5.6,2553
tt0166276,AR,Monkeybone,2001,93,"Comedy,Fantasy",nm0783139,nm0085718,4.8,19208
tt0166370,AU,Subconscious Cruelty,2000,92,"Fantasy,Horror",nm0403963,nm0403963,4.8,2089
tt0166813,AU,Spirit: Stallion of the Cimarron,2002,83,"Adventure,Animation,Drama","nm0038432,nm0177170",nm0299301,7.2,85514
tt0166924,AU,Mulholland Drive,2001,147,"Drama,Mystery,Thriller",nm0000186,nm0000186,7.9,384291
tt0167116,AU,Desert Saints,2002,88,"Action,Romance,Thriller",nm0338575,"nm0338575,nm0629755",6.0,3428
tt0167190,AR,Hellboy,2004,122,"Action,Adventure,Fantasy",nm0868219,"nm1486009,nm0586005,nm0868219",6.8,350456
tt0167203,AU,I Dreamed of Africa,2000,114,"Adventure,Biography,Drama",nm0399853,"nm0302990,nm0793463",5.5,4895
tt0167260,AE,The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama",nm0001392,"nm0101991,nm0866058,nm0001392,nm0909638",9.0,1981683
tt0167261,AE,The Lord of the Rings: The Two Towers,2002,179,"Action,Adventure,Drama",nm0001392,"nm0909638,nm0801728,nm0101991,nm0866058,nm0001392",8.8,1786101
tt0167456,AU,Thunderbirds,2004,95,"Action,Adventure,Comedy",nm0000408,"nm0651758,nm0382072,nm0567112",4.3,14485
tt0168446,CZ,Aberdeen,2000,106,Drama,nm0596407,"nm0025463,nm0596407",7.1,3468
tt0168504,FR,A Better Way to Die,2000,101,"Action,Comedy,Crime",nm0007045,nm0007045,5.5,1758
tt0168629,AU,Dancer in the Dark,2000,140,"Crime,Drama,Musical",nm0001885,"nm0797604,nm0001885",7.9,116902
tt0168786,AU,Antwone Fisher,2002,120,"Biography,Drama",nm0000243,nm0279376,7.3,38452
tt0168856,AU,A Fish Tale,2000,80,"Adventure,Animation,Comedy","nm0280745,nm0544337,nm0233036,nm0373798","nm0478172,nm0280745,nm1202109,nm0647690",6.0,7340
tt0169102,FR,Lagaan: Once Upon a Time in India,2001,224,"Drama,Musical,Sport",nm0332950,"nm1021353,nm1021349,nm1022153,nm0332950",8.1,120753
tt0170016,AE,How the Grinch Stole Christmas,2000,104,"Comedy,Family,Fantasy",nm0000165,"nm0696949,nm0317450,nm0780620",6.3,291705
tt0170691,AR,Tigerland,2000,101,"Drama,War",nm0001708,"nm0458462,nm0570077",6.9,43377
tt0171356,AU,Gun Shy,2000,101,"Comedy,Crime,Romance",nm0086826,nm0086826,5.6,7857
tt0171359,AU,Hamlet,2000,112,"Drama,Romance,Thriller",nm0021899,"nm0021899,nm0000636",5.9,9996
tt0171433,AU,Keeping the Faith,2000,128,"Comedy,Drama,Romance",nm0001570,nm0089742,6.4,53242
tt0171580,AE,Nurse Betty,2000,110,"Comedy,Crime,Drama",nm0001438,"nm0280963,nm0724167",6.3,36202
tt0172156,AE,Bad Boys II,2003,147,"Action,Comedy,Crime",nm0000881,"nm0005421,nm0926729,nm0821466,nm0303032,nm0926727",6.6,267534
tt0172495,AE,Gladiator,2000,155,"Action,Adventure,Drama",nm0000631,"nm0291905,nm0517589,nm0629933",8.5,1622575
tt0172543,AU,He Died with a Felafel in His Hand,2001,107,"Comedy,Romance",nm0523154,"nm0523154,nm0083658",7.0,4054
tt0172632,GB,Joe Gould's Secret,2000,104,Drama,nm0001804,"nm0593476,nm0734912",6.6,1646
